location_name,Walmart Supercenter,Super Saver,Russ's Market,Hy-Vee,Hy-Vee,Russ's Market,Whole Foods Market,Trader Joe's,Super Saver,Super Saver,Hy-Vee,Walmart Supercenter,Russ's Market,Super Saver,ALDI,Super Saver,Walmart Supercenter,Hy-Vee,Hy-Vee,Walmart Supercenter,Russ's Market,Walmart Supercenter,ALDI,Russ's Market,Russ's Market,Total
31109002500,4,13,46,NA,7,NA,4,4,NA,NA,5,7,NA,NA,4,21,35,NA,15,8,4,60,5,4,NA,246
31109002701,NA,4,14,NA,NA,NA,5,NA,NA,4,8,7,NA,NA,4,17,30,NA,7,5,NA,35,4,NA,NA,144
31109002702,4,6,54,4,16,NA,NA,NA,NA,NA,5,9,NA,4,4,31,35,NA,26,4,NA,71,10,NA,NA,283
31109002800,NA,8,51,NA,7,7,4,NA,4,4,NA,4,NA,4,NA,4,67,4,6,23,4,27,5,4,NA,237
31109002900,NA,5,NA,39,NA,NA,NA,NA,14,NA,7,51,4,23,4,NA,7,4,6,120,4,4,NA,NA,NA,292
31109003001,NA,4,NA,59,NA,NA,7,NA,55,NA,8,31,NA,25,12,NA,13,NA,NA,165,NA,6,10,NA,NA,395
31109003002,4,NA,NA,9,NA,NA,4,NA,14,NA,NA,14,NA,14,4,NA,5,NA,NA,48,NA,8,4,NA,4,132
31109003003,NA,15,4,21,NA,NA,4,NA,8,NA,5,37,6,57,8,NA,7,NA,NA,116,NA,14,NA,4,NA,306
31109003102,4,12,8,33,4,NA,4,NA,207,NA,11,34,7,10,6,NA,11,NA,NA,137,NA,9,4,6,NA,507
31109003103,NA,8,NA,4,NA,NA,NA,NA,9,NA,NA,10,4,16,6,NA,6,4,NA,48,NA,6,NA,NA,NA,121
31109003104,4,9,NA,12,NA,NA,4,NA,43,NA,4,41,8,31,4,4,12,NA,4,103,4,15,NA,NA,NA,302
31109003202,NA,8,NA,10,4,NA,NA,NA,83,NA,NA,15,NA,4,NA,NA,14,NA,NA,61,NA,11,4,11,NA,225
31109003301,NA,11,4,7,NA,NA,NA,NA,6,NA,7,10,NA,8,4,NA,28,NA,NA,63,NA,9,4,15,NA,176
31109003302,7,7,5,27,4,NA,6,4,135,NA,11,44,4,5,4,4,44,NA,NA,118,NA,20,4,16,4,473
31109003401,4,5,8,9,NA,NA,5,NA,5,NA,4,6,NA,6,4,NA,56,NA,NA,30,4,23,9,113,4,295
31109003402,5,9,10,7,4,4,NA,NA,4,4,7,14,4,14,4,4,67,NA,6,59,NA,36,11,143,NA,416
31109003604,4,NA,5,NA,5,NA,NA,NA,4,6,NA,6,NA,NA,4,6,62,NA,NA,4,4,19,9,30,NA,168
31109003605,NA,NA,32,NA,11,NA,NA,NA,NA,4,NA,5,NA,NA,NA,4,90,NA,4,NA,NA,40,7,4,NA,201
31109003607,4,NA,NA,NA,21,4,NA,NA,NA,15,4,4,NA,4,NA,NA,137,NA,4,NA,NA,21,13,NA,NA,231
31109003608,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,30,NA,NA,5,NA,11,4,NA,NA,59
31109003609,NA,NA,11,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,4,NA,NA,NA,59
31109003704,NA,5,41,NA,23,NA,4,NA,NA,4,4,7,NA,NA,4,11,104,NA,5,13,NA,68,11,NA,NA,304
31109003706,4,5,NA,NA,NA,NA,4,NA,NA,NA,7,14,NA,NA,15,19,20,NA,88,4,9,77,4,4,NA,274
31109003707,NA,NA,14,NA,NA,4,10,NA,4,NA,NA,9,4,NA,5,28,15,4,107,4,6,127,8,NA,NA,349
31109003708,NA,NA,10,NA,16,NA,NA,4,NA,9,NA,NA,NA,NA,NA,5,60,NA,4,6,NA,24,4,NA,NA,142
31109003709,NA,NA,18,NA,26,NA,4,4,4,5,NA,8,NA,NA,NA,21,61,NA,8,4,NA,67,12,4,NA,246
31109003713,NA,NA,NA,NA,4,NA,5,NA,NA,4,NA,8,NA,NA,4,9,9,7,20,NA,NA,66,4,4,NA,144
31109003714,NA,NA,7,NA,14,NA,4,NA,NA,4,4,NA,NA,NA,4,13,35,NA,17,NA,4,79,12,NA,NA,197
31109003715,NA,NA,4,NA,8,NA,4,4,NA,4,4,4,NA,NA,NA,6,28,NA,4,4,4,17,12,NA,NA,107
31109003716,NA,4,9,NA,19,4,NA,4,4,11,NA,NA,4,NA,NA,4,106,NA,8,4,4,26,15,NA,NA,226
31109003717,NA,19,NA,NA,4,4,9,NA,5,NA,4,179,9,4,21,4,4,54,5,14,13,38,NA,NA,NA,390
31109003718,NA,NA,6,NA,4,NA,16,NA,NA,NA,NA,18,NA,NA,10,4,4,13,45,5,9,57,NA,NA,NA,191
31109003719,NA,4,7,NA,NA,NA,10,4,4,NA,4,9,NA,NA,4,14,6,NA,82,4,NA,218,NA,4,NA,374
31109003720,NA,NA,10,NA,5,NA,NA,7,NA,13,NA,6,NA,4,NA,7,110,NA,24,4,4,89,34,NA,NA,317
31109003801,NA,12,NA,NA,NA,NA,5,4,NA,NA,14,36,4,4,16,4,6,4,33,4,19,44,NA,NA,NA,209
31109003802,NA,24,NA,4,NA,NA,4,NA,NA,NA,14,45,NA,NA,14,NA,4,12,18,6,35,37,NA,NA,NA,217
31109010100,NA,14,NA,22,NA,NA,10,NA,13,NA,7,232,29,11,33,NA,9,34,10,66,10,40,NA,4,214,758
31109010201,NA,4,4,31,NA,NA,NA,NA,162,NA,7,33,6,11,6,NA,17,NA,4,112,NA,7,NA,4,NA,408
31109010202,NA,4,4,29,NA,NA,NA,NA,165,NA,7,25,NA,7,4,NA,23,4,4,74,NA,13,NA,11,NA,374
31109010300,67,4,8,NA,12,NA,5,4,5,4,4,NA,NA,4,NA,5,83,NA,4,7,NA,36,7,33,NA,292
31109010400,14,4,12,4,13,NA,NA,NA,4,4,4,14,NA,NA,6,23,77,6,41,5,9,268,NA,4,NA,512
31111959700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4
31111959800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,8
