Census,Week_Start,Week_End,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate
53033009400,3/31/2020,4/14/2020,17,250.53,17,250.53,0,0,89,1311.62,105,1547.42
53033009400,4/15/2020,4/29/2020,15,221.06,15,221.06,0,0,111,1635.84,118,1739
53033009500,3/31/2020,4/14/2020,9,129.22,9,129.22,0,0,90,1292.21,91,1306.57
53033009500,4/15/2020,4/29/2020,6,86.15,6,86.15,0,0,93,1335.29,95,1364
53033009600,3/31/2020,4/14/2020,1,17.24,1,17.24,0,0,41,706.86,42,724.1
53033009600,4/15/2020,4/29/2020,1,17.24,1,17.24,0,0,64,1103.39,65,1120.63
53033009701,3/31/2020,4/14/2020,3,50.61,3,50.61,0,0,58,978.38,58,978.38
53033009701,4/15/2020,4/29/2020,0,0,0,0,0,0,58,978.38,61,1028.98
53033009702,3/31/2020,4/14/2020,6,105.36,6,105.36,0,0,47,825.35,49,860.47
53033009702,4/15/2020,4/29/2020,1,17.56,1,17.56,0,0,54,948.27,56,983.39
53033009800,3/31/2020,4/14/2020,2,27.51,2,27.51,0,0,98,1347.83,101,1389.09
53033009800,4/15/2020,4/29/2020,2,27.51,2,27.51,0,0,97,1334.07,103,1416.59
53033009900,3/31/2020,4/14/2020,4,62.22,4,62.22,0,0,65,1011,73,1135.43
53033009900,4/15/2020,4/29/2020,2,31.11,2,31.11,0,0,51,793.25,52,808.8
53033010001,3/31/2020,4/14/2020,12,256.94,12,256.94,0,0,64,1370.37,67,1434.61
53033010001,4/15/2020,4/29/2020,6,128.47,6,128.47,0,0,62,1327.55,64,1370.37
53033010002,3/31/2020,4/14/2020,3,61.12,3,61.12,0,0,48,977.86,50,1018.61
53033010002,4/15/2020,4/29/2020,3,61.12,3,61.12,0,0,56,1140.84,58,1181.58
53033010100,3/31/2020,4/14/2020,48,567.23,48,567.23,0,0,216,2552.52,256,3025.21
53033010100,4/15/2020,4/29/2020,13,153.62,13,153.62,0,0,216,2552.52,221,2611.6
53033010200,3/31/2020,4/14/2020,6,116.59,6,116.59,0,0,55,1068.72,56,1088.15
53033010200,4/15/2020,4/29/2020,3,58.29,3,58.29,0,0,98,1904.26,105,2040.28
53033010300,3/31/2020,4/14/2020,9,117.25,9,117.25,0,0,122,1589.4,124,1615.45
53033010300,4/15/2020,4/29/2020,11,143.31,11,143.31,0,0,120,1563.34,130,1693.62
53033010401,3/31/2020,4/14/2020,1,20.92,1,20.92,0,0,45,941.25,47,983.09
53033010401,4/15/2020,4/29/2020,4,83.67,4,83.67,0,0,49,1024.92,54,1129.5
53033010402,3/31/2020,4/14/2020,9,175.23,9,175.23,0,0,58,1129.26,58,1129.26
53033010402,4/15/2020,4/29/2020,10,194.7,10,194.7,0,0,63,1226.61,65,1265.55
53033010500,3/31/2020,4/14/2020,16,158.16,16,158.16,0,0,150,1482.75,155,1532.18
53033010500,4/15/2020,4/29/2020,5,49.43,5,49.43,0,0,113,1117.01,119,1176.32
53033010600,3/31/2020,4/14/2020,3,37.67,3,37.67,0,0,81,1016.96,86,1079.74
53033010600,4/15/2020,4/29/2020,1,12.56,1,12.56,0,0,101,1268.06,112,1406.17
53033010701,3/31/2020,4/14/2020,4,100.3,4,100.3,0,0,50,1253.77,52,1303.92
53033010701,4/15/2020,4/29/2020,2,50.15,2,50.15,0,0,48,1203.62,49,1228.69
53033010702,3/31/2020,4/14/2020,12,274.89,12,274.89,0,0,59,1351.52,60,1374.43
53033010702,4/15/2020,4/29/2020,7,160.35,7,160.35,0,0,74,1695.13,75,1718.04
53033010800,3/31/2020,4/14/2020,7,138.13,7,138.13,0,0,64,1262.86,68,1341.79
53033010800,4/15/2020,4/29/2020,0,0,0,0,0,0,52,1026.08,53,1045.81
53033010900,3/31/2020,4/14/2020,4,249.78,4,249.78,0,0,39,2435.36,41,2560.25
53033010900,4/15/2020,4/29/2020,3,187.34,3,187.34,0,0,54,3372.04,56,3496.93
53033011001,3/31/2020,4/14/2020,3,62.25,3,62.25,0,0,51,1058.2,53,1099.7
53033011001,4/15/2020,4/29/2020,7,145.24,7,145.24,0,0,92,1908.91,99,2054.15
53033011002,3/31/2020,4/14/2020,2,42.52,2,42.52,0,0,25,531.5,25,531.5
53033011002,4/15/2020,4/29/2020,5,106.3,5,106.3,0,0,49,1041.73,52,1105.51
53033011101,3/31/2020,4/14/2020,8,122.43,8,122.43,0,0,61,933.56,64,979.48
53033011101,4/15/2020,4/29/2020,10,153.04,10,153.04,0,0,102,1561.04,113,1729.39
53033011102,3/31/2020,4/14/2020,10,205.32,10,205.32,0,0,118,2422.72,128,2628.04
53033011102,4/15/2020,4/29/2020,5,102.66,5,102.66,0,0,300,6159.47,344,7062.86
53033011200,3/31/2020,4/14/2020,5,118.65,5,118.65,0,0,49,1162.77,52,1233.96
53033011200,4/15/2020,4/29/2020,6,142.38,6,142.38,0,0,58,1376.34,60,1423.8
53033011300,3/31/2020,4/14/2020,19,295.92,19,295.92,0,0,72,1121.37,75,1168.09
53033011300,4/15/2020,4/29/2020,11,171.32,11,171.32,0,0,71,1105.8,74,1152.52
53033011401,3/31/2020,4/14/2020,6,136.68,6,136.68,0,0,50,1139.02,51,1161.8
